year,col_area,valley_location,sex,summer_survival,combined_colony,predator_index,n_predator_observations,total_obslength_min,age,ageclass,massjun,ID_Code
2003,bench,down_valley,F,YES,rvbench,Low,2,9243,10,Adult,2904.775487,1541
2005,bench,down_valley,F,YES,rvbench,High,63,20299,12,Adult,2854.844374,1541
2004,bench,down_valley,F,YES,rvbench,High,16,20064,11,Adult,2951.268198,1541
2003,river,down_valley,F,YES,rvbench,Low,2,9243,11,Adult,2751.523272,1496
2004,river,down_valley,F,NO,rvbench,High,16,20064,12,Adult,2710.608115,1496
2003,river,down_valley,M,YES,rvbench,Low,2,9243,12,Adult,,4267
2004,river,down_valley,M,NO,rvbench,High,16,20064,13,Adult,,4267
2003,picnic_lower,up_valley,M,NO,picnic,High,21,6769,7,Adult,,1686
2006,picnic_upper,up_valley,F,YES,picnic,High,28,11295,7,Adult,3030.544945,4303
2008,picnic_upper,up_valley,F,NO,picnic,High,35,7309,9,Adult,2493.616785,4303
2005,picnic_upper,up_valley,F,YES,picnic,High,38,8519,6,Adult,2657.693321,4303
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,5,Adult,2713.838117,4303
2007,picnic_upper,up_valley,F,YES,picnic,High,22,7669,8,Adult,2879.79997,4303
2003,picnic_lower,up_valley,F,YES,picnic,High,21,6769,4,Adult,2465.97352,4303
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,5,Adult,3188.695209,1864
2003,picnic_lower,up_valley,F,YES,picnic,High,21,6769,4,Adult,2836.36213,1864
2005,picnic_lower,up_valley,F,YES,picnic,High,38,8519,6,Adult,2781.418094,1864
2006,picnic_lower,up_valley,F,YES,picnic,High,28,11295,7,Adult,3034.053874,1864
2008,picnic_lower,up_valley,F,YES,picnic,High,35,7309,9,Adult,2838.560967,1864
2007,picnic_lower,up_valley,F,YES,picnic,High,22,7669,8,Adult,2978.621367,1864
2004,mm,up_valley,M,YES,mm,High,9,12040,5,Adult,3782.987314,4304
2005,mm,up_valley,M,NO,mm,High,31,8455,6,Adult,,4304
2003,mm,up_valley,M,YES,mm,High,14,5699,4,Adult,3370.736566,4304
2006,mm,up_valley,F,YES,mm,Low,4,5363,12,Adult,2956.357661,1560
2005,mm,up_valley,F,YES,mm,High,31,8455,11,Adult,2714.061347,1560
2008,mm,up_valley,F,NO,mm,High,14,11519,14,Adult,,1560
2004,mm,up_valley,F,YES,mm,High,9,12040,10,Adult,3135.910304,1560
2003,mm,up_valley,F,YES,mm,High,14,5699,9,Adult,2759.950821,1560
2007,mm,up_valley,F,YES,mm,Low,6,8233,13,Adult,,1560
2006,picnic_lower,up_valley,F,YES,picnic,High,28,11295,10,Adult,2899.878796,1639
2005,picnic_lower,up_valley,F,YES,picnic,High,38,8519,9,Adult,2453.566034,1639
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,8,Adult,2711.259691,1639
2003,picnic_lower,up_valley,F,YES,picnic,High,21,6769,7,Adult,2691.730922,1639
2004,river,down_valley,M,YES,rvbench,High,16,20064,8,Adult,4137.117908,4282
2006,river,down_valley,M,YES,rvbench,High,19,28027,10,Adult,3780.626366,4282
2007,river,down_valley,M,NO,rvbench,High,192,30573,11,Adult,3950.93482,4282
2005,river,down_valley,M,YES,rvbench,High,63,20299,9,Adult,3829.915798,4282
2003,river,down_valley,M,YES,rvbench,Low,2,9243,7,Adult,3612.68813,4282
2007,gothictown,down_valley,F,NO,gothictown,High,66,13565,9,Adult,2471.311231,1803
2004,gothictown,down_valley,F,YES,gothictown,High,14,8151,6,Adult,3596.273025,1803
2003,gothictown,down_valley,F,YES,gothictown,Low,7,20739,5,Adult,3093.332206,1803
2006,gothictown,down_valley,F,YES,gothictown,High,40,9588,8,Adult,2441.386623,1803
2005,gothictown,down_valley,F,YES,gothictown,High,38,8078,7,Adult,3142.38971,1803
2003,cliff,up_valley,F,YES,,Low,,,4,Adult,2726.556178,1849
2005,cliff,up_valley,F,YES,,Low,,,6,Adult,2785.531843,1849
2006,cliff,up_valley,F,NO,,Low,,,7,Adult,,1849
2004,cliff,up_valley,F,YES,cliff,High,3,148,5,Adult,3074.83945,1849
2005,boulder,up_valley,F,YES,boulder,Low,1,1643,7,Adult,2732.329143,1823
2003,boulder,up_valley,F,YES,boulder,High,10,30,5,Adult,2457.07466,1823
2006,boulder,up_valley,F,YES,boulder,High,2,430,8,Adult,3099.879168,1823
2004,mm,up_valley,M,YES,mm,High,9,12040,6,Adult,4118.323571,1787
2005,mm,up_valley,M,YES,mm,High,31,8455,7,Adult,,1787
2006,river,down_valley,F,YES,rvbench,High,19,28027,6,Adult,3330.258086,1896
2005,river,down_valley,F,YES,rvbench,High,63,20299,5,Adult,3011.709605,1896
2003,river,down_valley,F,YES,rvbench,Low,2,9243,3,Adult,2613.917006,1896
2004,river,down_valley,F,YES,rvbench,High,16,20064,4,Adult,3034.430504,1896
2004,cliff,up_valley,F,NO,cliff,High,3,148,2,Adult,2216.555967,2015
2004,mm_aspen,up_valley,M,NO,mm,High,9,12040,2,Adult,,2001
2004,river_rivermound,down_valley,F,YES,rvbench,High,16,20064,2,Adult,2309.148074,1973
2005,river,down_valley,F,YES,rvbench,High,63,20299,3,Adult,2365.617646,1973
2006,river_rivermound,down_valley,F,NO,rvbench,High,19,28027,4,Adult,,1973
2006,gothictown,down_valley,F,NO,gothictown,High,40,9588,8,Adult,,4300
2005,gothictown,down_valley,F,YES,gothictown,High,38,8078,7,Adult,2696.902671,4300
2003,gothictown,down_valley,F,YES,gothictown,Low,7,20739,5,Adult,2658.956638,4300
2004,gothictown,down_valley,F,YES,gothictown,High,14,8151,6,Adult,2734.750791,4300
2004,gothictown,down_valley,M,YES,gothictown,High,14,8151,4,Adult,,1924
2005,gothictown,down_valley,M,NO,gothictown,High,38,8078,5,Adult,,1924
2003,gothictown,down_valley,M,YES,gothictown,Low,7,20739,3,Adult,3240.036141,1924
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,2,Adult,2230.429445,2004
2005,picnic_lower,up_valley,F,YES,picnic,High,38,8519,3,Adult,2363.146622,2004
2006,picnic_lower,up_valley,F,YES,picnic,High,28,11295,4,Adult,2619.294908,2004
2007,picnic_lower,up_valley,F,YES,picnic,High,22,7669,5,Adult,2725.57613,2004
2008,picnic_lower,up_valley,F,NO,picnic,High,35,7309,6,Adult,2520.521865,2004
2004,mm_aspen,up_valley,F,NO,mm,High,9,12040,2,Adult,,1999
2006,mm,up_valley,F,YES,mm,Low,4,5363,6,Adult,2492.539578,1901
2003,mm,up_valley,F,YES,mm,High,14,5699,3,Adult,2337.784543,1901
2005,mm,up_valley,F,YES,mm,High,31,8455,5,Adult,2331.391481,1901
2007,mm,up_valley,F,YES,mm,Low,6,8233,7,Adult,2634.333699,1901
2004,mm,up_valley,F,YES,mm,High,9,12040,4,Adult,2507.804329,1901
2008,mm,up_valley,F,NO,mm,High,14,11519,8,Adult,2344.415306,1901
2005,picnic,up_valley,F,YES,picnic,High,38,8519,3,Adult,2149.678866,2060
2006,picnic_lower,up_valley,F,NO,picnic,High,28,11295,4,Adult,2472.489897,2060
2004,picnic_upper,up_valley,F,YES,picnic,High,23,7579,2,Adult,1948.082987,2060
2007,boulder,up_valley,M,NO,boulder,High,1,120,5,Adult,,2007
2005,picnic_upper,up_valley,M,YES,picnic,High,38,8519,3,Adult,3358.650457,2007
2006,northpk,up_valley,M,YES,,Low,,,4,Adult,,2007
2005,mm,up_valley,F,YES,mm,High,31,8455,3,Adult,,2054
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,2,Adult,2393.952605,2054
2006,mm,up_valley,F,NO,mm,Low,4,5363,4,Adult,,2054
2005,stonefield,up_valley,F,YES,stonefield,High,1,35,3,Adult,2626.53952,1986
2004,stonefield,up_valley,F,YES,stonefield,High,5,120,2,Adult,2355.875337,1986
2008,stonefield,up_valley,F,NO,stonefield,High,6,991,6,Adult,2711.946905,1986
2007,stonefield,up_valley,F,YES,stonefield,High,1,1030,5,Adult,2785.625179,1986
2006,stonefield,up_valley,F,YES,stonefield,Low,2,3927,4,Adult,2934.064909,1986
2004,river_southmound,down_valley,M,YES,rvbench,High,16,20064,2,Adult,,2027
2003,stonefield,up_valley,M,NO,stonefield,High,9,294,3,Adult,,4314
2004,stonefield,up_valley,F,NO,stonefield,High,5,120,3,Adult,2425.039994,1956
2003,stonefield,up_valley,F,YES,stonefield,High,9,294,2,Adult,2313.684614,1956
2006,river,down_valley,F,YES,rvbench,High,19,28027,9,Adult,3258.109716,1738
2004,river,down_valley,F,YES,rvbench,High,16,20064,7,Adult,3417.084428,1738
2008,river,down_valley,F,YES,rvbench,High,40,15736,11,Adult,2914.081704,1738
2010,river_sprucemound,down_valley,F,NO,rvbench,Low,23,33729,13,Adult,,1738
2007,river,down_valley,F,YES,rvbench,High,192,30573,10,Adult,3252.004881,1738
2003,river,down_valley,F,YES,rvbench,Low,2,9243,6,Adult,,1738
2005,river,down_valley,F,YES,rvbench,High,63,20299,8,Adult,3092.873301,1738
2009,river,down_valley,F,YES,rvbench,High,16,18733,12,Adult,3018.73091,1738
2004,picnic_upper,up_valley,F,YES,picnic,High,23,7579,3,Adult,2681.272792,1946
2003,picnic_upper,up_valley,F,YES,picnic,High,21,6769,2,Adult,2368.174495,1946
2006,picnic_upper,up_valley,F,YES,picnic,High,28,11295,5,Adult,2953.145018,1946
2007,picnic_upper,up_valley,F,NO,picnic,High,22,7669,6,Adult,2850.449378,1946
2005,picnic,up_valley,F,YES,picnic,High,38,8519,4,Adult,2578.98282,1946
2005,mm,up_valley,M,YES,mm,High,31,8455,3,Adult,3271.334602,2048
2005,picnic_lower,up_valley,F,NO,picnic,High,38,8519,5,Adult,,4316
2004,picnic,up_valley,F,YES,picnic,High,23,7579,4,Adult,2451.264096,4316
2003,picnic_middle,up_valley,F,YES,picnic,High,21,6769,3,Adult,2268.871355,4316
2003,picnic_upper,up_valley,M,YES,picnic,High,21,6769,4,Adult,2498.554753,4306
2005,picnic_upper,up_valley,M,YES,picnic,High,38,8519,6,Adult,2278.260518,4306
2004,picnic_upper,up_valley,M,YES,picnic,High,23,7579,5,Adult,2977.563841,4306
2004,stonefield,up_valley,F,NO,stonefield,High,5,120,5,Adult,2631.395187,4307
2003,stonefield,up_valley,F,YES,stonefield,High,9,294,4,Adult,2369.318511,4307
2008,northpk,up_valley,F,NO,northpk,High,6,359,9,Adult,2110.510856,4308
2007,northpk,up_valley,F,YES,northpk,High,1,90,8,Adult,2627.339511,4308
2003,stonefield,up_valley,F,YES,stonefield,High,9,294,4,Adult,2150.874677,4308
2006,northpk,up_valley,F,YES,,Low,,,7,Adult,2489.934124,4308
2004,river_southmound,down_valley,M,YES,rvbench,High,16,20064,2,Adult,,1983
2004,river_southmound,down_valley,F,NO,rvbench,High,16,20064,2,Adult,,1981
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,4,Adult,2653.079781,4317
2006,picnic_upper,up_valley,F,YES,picnic,High,28,11295,6,Adult,3024.012962,4317
2003,picnic_lower,up_valley,F,YES,picnic,High,21,6769,3,Adult,2528.762252,4317
2007,picnic_lower,up_valley,F,NO,picnic,High,22,7669,7,Adult,,4317
2005,picnic_upper,up_valley,F,YES,picnic,High,38,8519,5,Adult,2507.464466,4317
2003,boulder,up_valley,M,NO,boulder,High,10,30,3,Adult,2576.892216,4318
2004,picnic_lower,up_valley,M,YES,picnic,High,23,7579,4,Adult,3547.373687,4319
2006,picnic_lower,up_valley,M,NO,picnic,High,28,11295,6,Adult,4397.795899,4319
2003,picnic_lower,up_valley,M,YES,picnic,High,21,6769,3,Adult,,4319
2005,picnic_lower,up_valley,M,YES,picnic,High,38,8519,5,Adult,3277.927269,4319
2005,picnic,up_valley,M,YES,picnic,High,38,8519,5,Adult,3361.681621,4320
2007,picnic,up_valley,M,NO,picnic,High,22,7669,7,Adult,3912.414573,4320
2006,picnic_upper,up_valley,M,YES,picnic,High,28,11295,6,Adult,4105.269842,4320
2003,picnic_middle,up_valley,M,YES,picnic,High,21,6769,3,Adult,2804.490963,4320
2004,picnic,up_valley,M,YES,picnic,High,23,7579,4,Adult,3558.696597,4320
2007,river,down_valley,F,YES,rvbench,High,192,30573,10,Adult,3308.506678,1739
2003,river,down_valley,F,YES,rvbench,Low,2,9243,6,Adult,3181.931945,1739
2008,river,down_valley,F,YES,rvbench,High,40,15736,11,Adult,2853.600894,1739
2005,river,down_valley,F,YES,rvbench,High,63,20299,8,Adult,3188.715193,1739
2006,river,down_valley,F,YES,rvbench,High,19,28027,9,Adult,3620.068915,1739
2009,river,down_valley,F,NO,rvbench,High,16,18733,12,Adult,3073.244126,1739
2004,river,down_valley,F,YES,rvbench,High,16,20064,7,Adult,3290.274366,1739
2003,picnic_lower,up_valley,M,NO,picnic,High,21,6769,4,Adult,3385.943465,4309
2004,mm_aspen,up_valley,M,NO,mm,High,9,12040,2,Adult,,2003
2007,picnic_upper,up_valley,F,YES,picnic,High,22,7669,5,Adult,2924.1472,2008
2011,picnic_lower,up_valley,F,NO,picnic,High,15,9938,9,Adult,,2008
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,2,Adult,2380.331435,2008
2010,picnic_lower,up_valley,F,YES,picnic,High,21,7312,8,Adult,2971.805775,2008
2005,picnic_lower,up_valley,F,YES,picnic,High,38,8519,3,Adult,2385.530593,2008
2008,picnic_upper,up_valley,F,YES,picnic,High,35,7309,6,Adult,,2008
2009,picnic_upper,up_valley,F,YES,picnic,High,27,9204,7,Adult,2858.408141,2008
2006,picnic,up_valley,F,YES,picnic,High,28,11295,4,Adult,2713.48225,2008
2003,mm,up_valley,F,NO,mm,High,14,5699,3,Adult,2545.264621,1902
2004,picnic_lower,up_valley,M,NO,picnic,High,23,7579,2,Adult,2303.360151,1988
2005,river,down_valley,F,NO,rvbench,High,63,20299,3,Adult,2666.193974,2052
2004,river,down_valley,F,YES,rvbench,High,16,20064,2,Adult,2434.669596,2052
2007,picnic_lower,up_valley,F,YES,picnic,High,22,7669,5,Adult,2827.036083,2005
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,2,Adult,2174.675179,2005
2005,picnic,up_valley,F,YES,picnic,High,38,8519,3,Adult,2346.697424,2005
2006,picnic_lower,up_valley,F,YES,picnic,High,28,11295,4,Adult,2710.486,2005
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,2,Adult,2118.830913,2056
2005,picnic,up_valley,F,YES,picnic,High,38,8519,3,Adult,2319.629264,2056
2008,picnic_upper,up_valley,F,YES,picnic,High,35,7309,6,Adult,2729.126974,2056
2007,picnic,up_valley,F,YES,picnic,High,22,7669,5,Adult,2959.096807,2056
2010,picnic_lower,up_valley,F,NO,picnic,High,21,7312,8,Adult,2945.642888,2056
2009,picnic_middle,up_valley,F,YES,picnic,High,27,9204,7,Adult,2797.613048,2056
2006,picnic_lower,up_valley,F,YES,picnic,High,28,11295,4,Adult,2891.871159,2056
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,2,Adult,2624.100799,1992
2005,picnic,up_valley,F,NO,picnic,High,38,8519,3,Adult,2717.721297,1992
2003,bench,down_valley,M,NO,rvbench,Low,2,9243,2,Adult,,1938
2004,stonefield,up_valley,M,NO,stonefield,High,5,120,3,Adult,3403.603905,1951
2003,stonefield,up_valley,M,YES,stonefield,High,9,294,2,Adult,2538.154816,1951
2003,gothictown,down_valley,F,YES,gothictown,Low,7,20739,2,Adult,2700.868567,1936
2009,gothictown,down_valley,F,NO,gothictown,High,67,17797,8,Adult,3280.447307,1936
2004,gothictown,down_valley,F,YES,gothictown,High,14,8151,3,Adult,3218.288033,1936
2006,gothictown,down_valley,F,YES,gothictown,High,40,9588,5,Adult,3383.504772,1936
2005,gothictown,down_valley,F,YES,gothictown,High,38,8078,4,Adult,3026.672036,1936
2007,gothictown,down_valley,F,YES,gothictown,High,66,13565,6,Adult,3418.242293,1936
2003,river,down_valley,M,NO,rvbench,Low,2,9243,2,Adult,,1968
2005,river,down_valley,F,NO,rvbench,High,63,20299,4,Adult,,1967
2003,river,down_valley,F,YES,rvbench,Low,2,9243,2,Adult,2571.659543,1967
2004,river_rivermound,down_valley,F,YES,rvbench,High,16,20064,3,Adult,,1967
2003,river,down_valley,F,YES,rvbench,Low,2,9243,2,Adult,2426.474044,1965
2005,river,down_valley,F,YES,rvbench,High,63,20299,4,Adult,2732.5096,1965
2004,river,down_valley,F,YES,rvbench,High,16,20064,3,Adult,2702.402288,1965
2006,river,down_valley,F,NO,rvbench,High,19,28027,5,Adult,2836.791626,1965
2003,river,down_valley,M,NO,rvbench,Low,2,9243,2,Adult,,1939
2005,river,down_valley,F,YES,rvbench,High,63,20299,3,Adult,2445.00335,1974
2004,river_rivermound,down_valley,F,YES,rvbench,High,16,20064,2,Adult,2469.198476,1974
2004,river_sprucemound,down_valley,M,NO,rvbench,High,16,20064,2,Adult,,2034
2004,gothictown,down_valley,M,YES,gothictown,High,14,8151,2,Adult,2851.203085,1979
2003,river,down_valley,F,NO,rvbench,Low,2,9243,6,Adult,,1740
2004,river_southmound,down_valley,F,YES,rvbench,High,16,20064,2,Adult,,2025
2004,gothictown,down_valley,F,NO,gothictown,High,14,8151,2,Adult,,2009
2004,river_southmound,down_valley,M,YES,rvbench,High,16,20064,2,Adult,,1985
2005,picnic_lower,up_valley,F,YES,picnic,High,38,8519,3,Adult,2484.797709,1995
2008,picnic_lower,up_valley,F,NO,picnic,High,35,7309,6,Adult,,1995
2006,picnic_lower,up_valley,F,YES,picnic,High,28,11295,4,Adult,3080.035461,1995
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,2,Adult,2474.120168,1995
2007,picnic_lower,up_valley,F,YES,picnic,High,22,7669,5,Adult,3027.133451,1995
2004,gothictown,down_valley,F,NO,gothictown,High,14,8151,2,Adult,,2010
2005,boulder,up_valley,F,NO,boulder,Low,1,1643,3,Adult,2707.781533,2021
2007,picnic_lower,up_valley,F,YES,picnic,High,22,7669,5,Adult,3011.696854,1994
2005,picnic_lower,up_valley,F,YES,picnic,High,38,8519,3,Adult,2466.564767,1994
2008,picnic_lower,up_valley,F,YES,picnic,High,35,7309,6,Adult,2719.491707,1994
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,2,Adult,2281.257313,1994
2006,picnic_lower,up_valley,F,YES,picnic,High,28,11295,4,Adult,2940.840698,1994
2004,picnic_lower,up_valley,M,NO,picnic,High,23,7579,2,Adult,,1996
2005,river,down_valley,F,YES,rvbench,High,63,20299,3,Adult,2862.82213,2031
2007,river,down_valley,F,YES,rvbench,High,192,30573,5,Adult,3254.081834,2031
2006,river,down_valley,F,YES,rvbench,High,19,28027,4,Adult,3335.802586,2031
2004,river,down_valley,F,YES,rvbench,High,16,20064,2,Adult,2625.158862,2031
2008,river_rivermound,down_valley,F,NO,rvbench,High,40,15736,6,Adult,,2031
2004,cliff,up_valley,F,NO,cliff,High,3,148,2,Adult,2139.130857,2017
2004,river_sprucemound,down_valley,M,YES,rvbench,High,16,20064,2,Adult,,2035
2003,picnic_lower,up_valley,F,YES,picnic,High,21,6769,4,Adult,2286.428704,1857
2004,picnic_lower,up_valley,F,YES,picnic,High,23,7579,5,Adult,2708.909107,1857
2005,picnic,up_valley,F,YES,picnic,High,38,8519,6,Adult,2578.172904,1857
2007,picnic_lower,up_valley,F,YES,picnic,High,22,7669,8,Adult,2897.117947,1857
2006,picnic_lower,up_valley,F,YES,picnic,High,28,11295,7,Adult,2815.276043,1857
2003,picnic,up_valley,F,NO,picnic,High,21,6769,4,Adult,,1862
2005,river,down_valley,F,NO,rvbench,High,63,20299,2,Adult,2755.047355,2100
2008,river,down_valley,F,YES,rvbench,High,40,15736,5,Adult,2497.946667,2101
2009,river,down_valley,F,NO,rvbench,High,16,18733,6,Adult,2928.149527,2101
2007,river,down_valley,F,YES,rvbench,High,192,30573,4,Adult,2926.642562,2101
2006,river,down_valley,F,YES,rvbench,High,19,28027,3,Adult,,2101
2005,river,down_valley,F,YES,rvbench,High,63,20299,2,Adult,2587.505373,2101
2005,bench,down_valley,F,NO,rvbench,High,63,20299,2,Adult,,2062
2006,gothictown,down_valley,F,YES,gothictown,High,40,9588,3,Adult,2627.785842,2085
2005,gothictown,down_valley,F,YES,gothictown,High,38,8078,2,Adult,2453.887145,2085
2007,bench,down_valley,F,YES,rvbench,High,192,30573,4,Adult,3263.12307,2063
2009,bench,down_valley,F,YES,rvbench,High,16,18733,6,Adult,3185.928201,2063
2010,bench,down_valley,F,YES,rvbench,Low,23,33729,7,Adult,3276.361349,2063
2006,bench,down_valley,F,YES,rvbench,High,19,28027,3,Adult,3054.837026,2063
2008,bench,down_valley,F,YES,rvbench,High,40,15736,5,Adult,2854.119841,2063
2005,bench,down_valley,F,YES,rvbench,High,63,20299,2,Adult,2646.968381,2063
2004,picnic,up_valley,F,YES,picnic,High,23,7579,2,Adult,1768.504572,3942
2005,picnic,up_valley,F,NO,picnic,High,38,8519,3,Adult,,3942
2010,boulder,up_valley,F,YES,,Low,,,3,Adult,2388.278409,2650
2009,boulder,up_valley,F,YES,boulder,High,1,698,2,Adult,2131.260239,2650
2011,boulder,up_valley,F,NO,boulder,High,5,3798,4,Adult,2245.704707,2650
2005,mm,up_valley,F,NO,mm,High,31,8455,2,Adult,2069.449066,2071
2004,picnic_middle,up_valley,F,YES,picnic,High,23,7579,2,Adult,1860.226846,2042
2006,picnic,up_valley,F,YES,picnic,High,28,11295,4,Adult,2213.423681,2042
2005,picnic_middle,up_valley,F,YES,picnic,High,38,8519,3,Adult,1971.436617,2042
2008,picnic_middle,up_valley,F,YES,picnic,High,35,7309,6,Adult,2082.535238,2042
2007,picnic_lower,up_valley,F,YES,picnic,High,22,7669,5,Adult,,2042
2009,mm,up_valley,M,YES,mm,Low,6,9903,6,Adult,4383.008198,2117
2007,mm,up_valley,M,YES,mm,Low,6,8233,4,Adult,4216.475643,2117
2005,mm,up_valley,M,YES,mm,High,31,8455,2,Adult,3377.072076,2117
2008,mm,up_valley,M,YES,mm,High,14,11519,5,Adult,3762.09143,2117
2006,mm,up_valley,M,YES,mm,Low,4,5363,3,Adult,4269.617464,2117
2003,picnic_lower,up_valley,M,NO,picnic,High,21,6769,2,Adult,2255.977222,4322
2010,gothictown,down_valley,F,YES,gothictown,High,84,13828,7,Adult,3522.57391,2088
2012,gothictown,down_valley,F,NO,gothictown,High,21,4340,9,Adult,3657.787618,2088
2008,gothictown,down_valley,F,YES,gothictown,High,64,9179,5,Adult,3073.461462,2088
2009,gothictown,down_valley,F,YES,gothictown,High,67,17797,6,Adult,3255.47023,2088
2007,gothictown,down_valley,F,YES,gothictown,High,66,13565,4,Adult,3399.981735,2088
2005,gothictown,down_valley,F,YES,gothictown,High,38,8078,2,Adult,2789.401539,2088
2011,gothictown,down_valley,F,YES,gothictown,High,11,15618,8,Adult,3013.930229,2088
2006,gothictown,down_valley,F,YES,gothictown,High,40,9588,3,Adult,3413.839778,2088
2005,river,down_valley,M,YES,rvbench,High,63,20299,2,Adult,3039.429688,2111
2006,river,down_valley,M,NO,rvbench,High,19,28027,3,Adult,,2111
2003,stonefield,up_valley,M,NO,stonefield,High,9,294,2,Adult,2350.32499,4323
2005,mm,up_valley,M,NO,mm,High,31,8455,2,Adult,3023.67083,2118
2006,stonefield,up_valley,F,YES,stonefield,Low,2,3927,2,Adult,2114.226267,2199
2004,northpk,up_valley,M,NO,northpk,High,3,1,2,Adult,1964.212148,3945
2005,boulder,up_valley,M,YES,boulder,Low,1,1643,2,Adult,2657.702643,2080
2007,boulder,up_valley,M,YES,boulder,High,1,120,4,Adult,3155.351527,2080
2008,northpk,up_valley,M,NO,northpk,High,6,359,5,Adult,2878.55563,2080
2006,boulder,up_valley,M,YES,boulder,High,2,430,3,Adult,3272.953714,2080
2007,mm,up_valley,F,NO,mm,Low,6,8233,4,Adult,,2073
2005,mm,up_valley,F,YES,mm,High,31,8455,2,Adult,2379.244818,2073
2006,mm,up_valley,F,YES,mm,Low,4,5363,3,Adult,2884.976325,2073
2006,horsemound,down_valley,F,YES,horsemound,Low,1,2900,2,Adult,2725.072086,2252
